entry_date,exit_date,direction,entry,sl,tp1,tp2,tp3,exit_price,rr,exit_reason,tp1_hit,tp2_hit
2024-01-24,2024-02-13,bearish,1.08472,1.09390,1.07095,1.06177,1.04800,1.07095,0.25,SL_PARTIAL,True,False
2024-02-15,2024-02-21,bearish,1.07768,1.08436,1.06766,1.06098,1.05097,1.08436,-1.00,SL,False,False
2024-02-29,2024-03-10,bullish,1.08398,1.07563,1.09650,1.10484,1.11736,1.09650,0.25,SL_PARTIAL,True,False
2024-03-19,2024-03-21,bullish,1.09220,1.08296,1.10606,1.11530,1.12916,1.08296,-1.00,SL,False,False
2024-03-25,2024-03-31,bullish,1.08375,1.07562,1.09595,1.10409,1.11629,1.07562,-1.00,SL,False,False
2024-04-02,2024-04-11,bullish,1.07696,1.06781,1.09068,1.09983,1.11355,1.06781,-1.00,SL,False,False
2024-04-16,2024-05-05,bullish,1.06728,1.05814,1.08098,1.09012,1.10382,1.08098,0.25,SL_PARTIAL,True,False
2024-05-08,2024-05-15,bullish,1.07817,1.07265,1.08645,1.09197,1.10025,1.08645,0.25,SL_PARTIAL,True,False
2024-05-23,2024-05-27,bullish,1.08468,1.08333,1.08670,1.08805,1.09008,1.08670,1.50,SL_PARTIAL,True,False
2024-05-29,2024-06-09,bullish,1.08322,1.07613,1.09385,1.10094,1.11158,1.07613,-1.00,SL,False,False
2024-06-11,2024-06-13,bullish,1.08092,1.07238,1.09374,1.10228,1.11510,1.07238,-1.00,SL,False,False
2024-06-19,2024-07-04,bearish,1.07026,1.08416,1.04941,1.03551,1.01466,1.08416,-1.00,SL,False,False
2024-07-10,2024-07-15,bullish,1.08679,1.08337,1.09191,1.09533,1.10045,1.09191,0.25,SL_PARTIAL,True,False
2024-07-17,2024-07-23,bullish,1.09396,1.08360,1.10950,1.11986,1.13540,1.08360,-1.00,SL,False,False
2024-07-29,2024-08-04,bearish,1.08212,1.09289,1.06597,1.05520,1.03905,1.09289,-1.00,SL,False,False
2024-08-12,2024-08-19,bullish,1.09928,1.09319,1.10842,1.11451,1.12365,1.10842,0.25,SL_PARTIAL,True,False
2024-08-28,2024-09-17,bearish,1.10780,1.11777,1.09284,1.08286,1.06790,1.11777,-1.00,SL,False,False
2024-09-19,2024-09-30,bullish,1.11616,1.10658,1.13053,1.14012,1.15449,1.10658,-1.00,SL,False,False
2024-10-02,2024-11-06,bearish,1.10298,1.12295,1.07302,1.05305,1.02309,1.07302,0.25,SL_PARTIAL,True,False
2024-11-11,2024-11-24,bearish,1.06560,1.08035,1.04347,1.02872,1.00659,1.04347,0.25,SL_PARTIAL,True,False

# Summary:
# Asset: EUR_USD
# Period: 2024-01-01 - 2024-11-28
# Total Trades: 20
# Win Rate: 45.0%
# Net Return: -7.5%
# Avg R:R: -0.38
